frame,passer,receiver
22758,21404,21555
22764,21555,21755
22771,21755,20963
22781,20963,21555
22811,21555,20963
22834,20963,21758
22839,21758,21823
22848,21758,20963
22859,21758,21755
22876,21755,21867
22896,21867,21846
22902,21846,21404
22912,21404,21719
22918,21719,21944
22940,21944,21975
22988,21944,22001
23015,22001,22094
23083,22094,22242
23110,22094,22262
23123,22262,22270
23127,22270,22262
23133,22270,22262
23144,22262,22270
23202,22262,22277
23206,22277,22258
23255,22282,22328
23261,22329,22328
23270,22329,22331
23273,22331,22332
23277,22332,22330
23283,22330,22327
23295,22327,22361
23306,22361,22417
23320,22417,22390
23330,22390,22327
23335,22327,22325
23343,22325,22484
23352,22492,22325
23362,22325,22510
23388,22510,22533
23401,22533,22538
23405,22533,22567
23420,22567,22548
23482,22548,22541
23498,22541,22548
23503,22541,22548
23530,22548,22567
23541,22567,22543
23562,22535,22674
23587,22674,22693
23607,22693,22737
23610,22737,22693
23622,22693,22737
23632,22693,22698
23638,22737,22693
23645,22698,22543
23651,22851,22698
23663,22698,22674
23668,22698,22543
23671,22543,22693
23678,22543,22698
23681,22698,22879
23690,22698,22674
23710,22674,22651
23716,22674,22693
23721,22674,22693
23738,22674,22698
23742,22698,22674
23753,22698,22903
23763,22903,22674
23768,22698,22651
23774,22698,22651
23793,22651,22698
23796,22698,22651
23804,22651,22698
23807,22698,22651
23812,22698,22651
23821,22698,22651
23834,22651,22698
23841,22698,22651
23850,22651,22698
23853,22698,22651
23859,22698,22651
23862,22651,22698
23877,22651,22693
23884,22651,22698
23906,22651,22693
23928,22651,22885
23933,22885,22674
23957,22885,22872
23988,22872,22651
23992,22651,23079
24018,23079,23096
24027,23079,23096
24031,23079,23122
24043,23079,23122
24057,22985,23096
24071,23096,22985
24076,22985,23096
24106,23096,22872
24124,23096,23221
24128,23096,23285
24140,23285,23193
24150,23193,23203
24160,23203,23210
24184,23210,23396
24187,23396,23210
24194,23406,23210
24221,23210,23406
24236,23406,23193
24261,23406,23239
24271,23239,23210
24293,23210,23239
24298,23239,23210
24302,23210,23315
24306,23315,23502
24359,23502,23619
24375,23502,23604
24429,23604,23800
24435,23803,23809
24438,23809,23830
24446,23824,23800
24450,23800,23826
24454,23895,23897
24458,23927,23911
24463,23911,23966
24477,23826,23800
24488,24063,23800
24494,23800,24083
24526,24096,24100
24556,24100,24096
24566,24096,24100
24587,24096,24100
24603,24100,24098
24606,24098,24100
24610,24100,24098
24619,24098,24100
24632,24098,24234
24638,24100,24098
24644,24098,24100
24668,24287,24307
24677,24307,24304
24688,24304,24338
24697,24338,24304
24702,24357,24304
24710,24304,24367
24714,24367,24372
24736,24367,24375
24775,24375,24434
24785,24437,24434
24817,24434,24437
24822,24437,24538
24834,24437,24510
24851,24437,24571
24859,24437,24585
24884,24437,24598
24896,24437,24658
24910,24598,24672
24923,24677,24598
24936,24672,24687
24948,24687,24672
24958,24672,24709
24976,24709,24672
25007,24672,24722
25015,24722,24672
25035,24672,24831
25039,24831,24672
25048,24886,24868
25065,24900,24867
25074,24867,24900
25203,24900,24907
25223,24900,24902
25311,24902,24868
25327,24900,24911
25339,24929,24868
25342,24868,24886
25350,24868,25149
25360,24868,24902
25368,24886,25149
25379,24886,24868
